source,title,link,published,index,cluster,predicted_label,confidence
Vedomosti,Лавров усомнился в версии Польши об обнаружении российских беспилотников,https://www.vedomosti.ru/politics/news/2025/09/27/1142512-lavrov-usomnilsya,"Sat, 27 Sep 2025 21:25:41 +0300",0,0,политика,0.35639536
Vedomosti,Лавров назвал слепотой расчет на возвращение Украины к границам 2022 года,https://www.vedomosti.ru/politics/news/2025/09/27/1142511-lavrov-nazval-slepotoi,"Sat, 27 Sep 2025 21:16:18 +0300",1,1,политика,0.34450373
Vedomosti,Лавров: в ЕС и НАТО всерьез рассуждают о сценарии третьей мировой войны,https://www.vedomosti.ru/politics/news/2025/09/27/1142510-es-nato-rassuzhdayut,"Sat, 27 Sep 2025 20:47:08 +0300",2,1,спорт,0.34969956
Vedomosti,Лавров: у России нет планов нападать на страны НАТО,https://www.vedomosti.ru/politics/news/2025/09/27/1142509-net-planov-napadat,"Sat, 27 Sep 2025 20:32:22 +0300",3,0,политика,0.35663185
Vedomosti,Армия Израиля контролирует половину города Газа,https://www.vedomosti.ru/politics/news/2025/09/27/1142506-armiya-izrailya-kontroliruet,"Sat, 27 Sep 2025 19:56:32 +0300",4,1,политика,0.33865657
Vedomosti,Пезешкиан: Иран и «евротройка» были близки к соглашению по ядерному досье,https://www.vedomosti.ru/politics/news/2025/09/27/1142504-iran-evrotroika-bili-blizki,"Sat, 27 Sep 2025 19:35:03 +0300",5,2,политика,0.34661755
Vedomosti,Лавров и глава МИД Никарагуа обсудили наращивание двусторонних отношений,https://www.vedomosti.ru/politics/news/2025/09/27/1142503-naraschivanie-dvustoronnih-otnoshenii,"Sat, 27 Sep 2025 19:04:41 +0300",6,0,политика,0.3499133
Vedomosti,Умер актер из «Ментовских войн» Александр Иовлев,https://www.vedomosti.ru/society/news/2025/09/27/1142502-umer-akter-iovlev,"Sat, 27 Sep 2025 18:46:59 +0300",7,0,политика,0.3495752
Vedomosti,Зеленский: Украина уже месяц использует израильскую систему Patriot,https://www.vedomosti.ru/politics/news/2025/09/27/1142501-ukraina-ispolzuet,"Sat, 27 Sep 2025 18:14:15 +0300",8,2,политика,0.35052735
Vedomosti,Аэропорт в Берлине не смог полностью восстановить работу после кибератаки,https://www.vedomosti.ru/business/news/2025/09/27/1142500-aeroport-v-berline,"Sat, 27 Sep 2025 18:04:06 +0300",9,2,политика,0.34941274
Vedomosti,Роспотребнадзор обратился к Турции из-за данных об отравлении россиян в Кемере,https://www.vedomosti.ru/society/news/2025/09/27/1142498-rospotrebnadzor-obratilsya,"Sat, 27 Sep 2025 17:51:57 +0300",10,0,политика,0.34957114
Vedomosti,Эрдоган обвинил «баронов войны» в эскалации на Украине,https://www.vedomosti.ru/politics/news/2025/09/27/1142497-erdogan-obvinil,"Sat, 27 Sep 2025 17:37:51 +0300",11,0,политика,0.3489006
Vedomosti,Xzibit в декабре выступит в Москве и Санкт-Петербурге,https://www.vedomosti.ru/society/news/2025/09/27/1142496-xzibit-vistupit,"Sat, 27 Sep 2025 17:20:32 +0300",12,4,спорт,0.34590656
Vedomosti,Зеленский пригрозил Москве ответными блэкаутами,https://www.vedomosti.ru/politics/news/2025/09/27/1142495-zelenskii-prigrozil,"Sat, 27 Sep 2025 17:01:38 +0300",13,2,политика,0.34836152
Vedomosti,Пезешкиан: США требовали передать обогащенный уран в обмен на отсрочку санкций,https://www.vedomosti.ru/politics/news/2025/09/27/1142494-ssha-trebovali-peredat,"Sat, 27 Sep 2025 16:49:50 +0300",14,0,политика,0.3514237
Vedomosti,Иран предоставил России территорию для строительства участка коридора Север – Юг,https://www.vedomosti.ru/business/news/2025/09/27/1142490-iran-predostavil,"Sat, 27 Sep 2025 16:18:59 +0300",15,0,политика,0.352288
Vedomosti,Yle: ЕС не включил никель в пакеты санкций из-за потребности в сырье для обороны,https://www.vedomosti.ru/politics/news/2025/09/27/1142488-es-ne-vklyuchil-nikel,"Sat, 27 Sep 2025 15:52:26 +0300",16,4,политика,0.34370258
Vedomosti,Суд арестовал двух фигурантов дела об отравлении метанолом в Ленобласти,https://www.vedomosti.ru/society/news/2025/09/27/1142486-sud-arestoval,"Sat, 27 Sep 2025 15:34:14 +0300",17,0,политика,0.3511732
Vedomosti,Shaman назвал партию «Мы» не шуткой,https://www.vedomosti.ru/politics/news/2025/09/27/1142487-shaman-nazval,"Sat, 27 Sep 2025 15:30:48 +0300",18,0,политика,0.34382275
Vedomosti,У экс-мэра Владивостока и других должников изъяли 700 объектов недвижимости,https://www.vedomosti.ru/society/news/2025/09/27/1142485-eks-mera-vladivostoka-izyali,"Sat, 27 Sep 2025 15:11:31 +0300",19,0,политика,0.34730425
Kommersant,В результате ракетного удара по Белгороду пострадали три человека,https://www.kommersant.ru/doc/8077350,"Sat, 27 Sep 2025 21:32:51 +0300",20,4,политика,0.34755576
Kommersant,Лавров прокомментировал сравнение России с «бумажным тигром»,https://www.kommersant.ru/doc/8077344,"Sat, 27 Sep 2025 21:19:32 +0300",21,0,политика,0.35090035
Kommersant,Лавров: Россия верит в желание США завершить конфликт на Украине,https://www.kommersant.ru/doc/8077348,"Sat, 27 Sep 2025 21:07:26 +0300",22,1,политика,0.3496618
Kommersant,Spiegel: в ФРГ возникли трудности с оснащением армии цифровой радиосвязью,https://www.kommersant.ru/doc/8077339,"Sat, 27 Sep 2025 20:58:27 +0300",23,3,политика,0.35366398
Kommersant,Россия и США проведут осенью третий раунд переговоров,https://www.kommersant.ru/doc/8077346,"Sat, 27 Sep 2025 20:44:02 +0300",24,0,политика,0.35038602
Kommersant,Глава Бурятии допустил возобновление промышленного вылова омуля,https://www.kommersant.ru/doc/8077333,"Sat, 27 Sep 2025 20:42:35 +0300",25,0,политика,0.34458202
Kommersant,Лавров: Россия не видит изменений в подходе США к переговорам,https://www.kommersant.ru/doc/8077343,"Sat, 27 Sep 2025 20:36:01 +0300",26,1,политика,0.34803438
Kommersant,Белгород подвергся ракетному обстрелу,https://www.kommersant.ru/doc/8077342,"Sat, 27 Sep 2025 20:28:01 +0300",27,4,политика,0.34632787
Kommersant,Лавров назвал условия переговоров о гарантиях безопасности для Украины,https://www.kommersant.ru/doc/8077337,"Sat, 27 Sep 2025 20:21:24 +0300",28,1,политика,0.3435169
Kommersant,Кириенко: в бюджете на поддержку родительских комитетов заложен 1 млрд рублей,https://www.kommersant.ru/doc/8077325,"Sat, 27 Sep 2025 20:14:19 +0300",29,4,политика,0.35100898
Kommersant,Лавров: Россия не наносит прицельных ударов по странам Европы,https://www.kommersant.ru/doc/8077334,"Sat, 27 Sep 2025 20:05:15 +0300",30,1,политика,0.3479151
Kommersant,Лавров: Россия не агитирует за революцию против кого бы то ни было,https://www.kommersant.ru/doc/8077327,"Sat, 27 Sep 2025 19:52:54 +0300",31,1,политика,0.34643304
Kommersant,Лавров: Россия не планирует нападать на страны НАТО,https://www.kommersant.ru/doc/8077329,"Sat, 27 Sep 2025 19:48:46 +0300",32,1,политика,0.35071725
Kommersant,Лавров призвал не допустить «дворцового переворота» в секретариате ООН,https://www.kommersant.ru/doc/8077326,"Sat, 27 Sep 2025 19:43:48 +0300",33,1,спорт,0.34926343
Kommersant,Лавров: Россия предлагает США избежать гонки вооружений,https://www.kommersant.ru/doc/8077324,"Sat, 27 Sep 2025 19:37:19 +0300",34,1,политика,0.34514597
Kommersant,Лавров назвал «саботажем» отказ Совбеза ООН продлить иранскую сделку,https://www.kommersant.ru/doc/8077323,"Sat, 27 Sep 2025 19:32:21 +0300",35,4,спорт,0.34598166
